Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,BAT-HLD-001-THM,Linx,BAT-HLD-001-THM,https://octopart.com/bat-hld-001-thm-linx-22099478,BTH1,,Battery holder,1,BAT-HLD-001-THM-ND,712-BAT-HLD-001-THM,Bulk,Bulk,2.040237,2.040237,23721,6218,1,1,https://octopart.com/click/track?c=1&ai=8237&sig=07bebef&sid=459&ppid=22099478&vpid=46595816&ct=offers,https://octopart.com/click/track?ai=8237&sig=03c9273&sid=2401&ppid=22099478&vpid=46616054&ct=offers,Digi-Key,BAT-HLD-001-THM-ND,Bulk,2.040237,2.040237,2.040237,23721,1,https://octopart.com/click/track?c=1&ai=8237&sig=07bebef&sid=459&ppid=22099478&vpid=46595816&ct=offers,
1,CR2032,Panasonic,CR2032,https://octopart.com/cr2032-panasonic-39385932,,,Battery,1,P189-ND,658-CR2032,Tray,Tray,2.392002,2.3216490000000003,3361188,69059,1,1,https://octopart.com/click/track?ai=8237&sig=003df26&sid=459&ppid=39385932&vpid=113513963&ct=offers,https://octopart.com/click/track?ai=8237&sig=085bbfc&sid=2401&ppid=39385932&vpid=114825977&ct=offers,Allied Electronics & Automation,70197035,Bulk,2.11059,2.11059,2.11059,1975,1,https://octopart.com/click/track?ai=8237&sig=08818a7&sid=14&ppid=39385932&vpid=114831209&ct=offers,
1,ATMEGA328P-AU,Microchip,ATMEGA328P-AU,https://octopart.com/atmega328p-au-microchip-77760215,U1,,Arduino based MCU,1,ATMEGA328P-AU-ND,556-ATMEGA328P-AU,Tray,Tray,14.140953,14.140953,3242,6216,1,1,https://octopart.com/click/track?ai=8237&sig=0d5999e&sid=459&ppid=77760215&vpid=408716878&ct=offers,https://octopart.com/click/track?ai=8237&sig=04d8b91&sid=2401&ppid=77760215&vpid=408978600&ct=offers,iodParts,ATMEGA328P-AU,,9.5046903,9.5046903,9.5046903,40,1,https://octopart.com/click/track?ai=8237&sig=0bd5413&sid=26822&ppid=77760215&vpid=451871008&ct=offers,
1,WSSFM60R1AT,Avnet Design Services,WSSFM60R1AT,https://octopart.com/wssfm60r1at-avnet+design+services-89287411,SIG1,,Sigfox Communication Modem,1,,,,,,,,,,,,,,,,,,,,
1,AH9246-W-7,Diodes Inc.,AH9246-W-7,https://octopart.com/ah9246-w-7-diodes+inc.-64723668,HALL1,,Hall Effect Sensor,1,AH9246-W-7DICT-ND,621-AH9246-W-7,Cut Tape,Tape & Reel,4.854357,4.291533,153,37625,1,1,https://octopart.com/click/track?ai=8237&sig=0d0c044&sid=459&ppid=64723668&vpid=225540987&ct=offers,https://octopart.com/click/track?ai=8237&sig=0a0d859&sid=2401&ppid=64723668&vpid=229657309&ct=offers,LCSC,C126662,,1.9239,1.9239,1.9239,2019,1,https://octopart.com/click/track?ai=8237&sig=014e706&sid=27971&ppid=64723668&vpid=445982026&ct=offers,
1,471,Proant AB,471,https://octopart.com/471-proant+ab-47319490,ANT1,,PCB Mounted Antenna,1,1532-1004-1-ND,,Cut Tape,,11.467539,,4531,,1,,https://octopart.com/click/track?c=1&ai=8237&sig=06a680a&sid=459&ppid=47319490&vpid=440579118&ct=offers,,Digi-Key,1532-1004-1-ND,Cut Tape,11.467539,11.467539,11.467539,4531,1,https://octopart.com/click/track?c=1&ai=8237&sig=06a680a&sid=459&ppid=47319490&vpid=440579118&ct=offers,
1,TLMG1100-GS08,Vishay,TLMG1100-GS08,https://octopart.com/tlmg1100-gs08-vishay-42333640,D1,,LED,1,751-1165-1-ND,78-TLMG1100,Cut Tape,Tape & Reel,3.4472970000000003,2.11059,107476,11450,1,1,https://octopart.com/click/track?ai=8237&sig=0cc52cd&sid=459&ppid=42333640&vpid=159805027&ct=offers,https://octopart.com/click/track?ai=8237&sig=0cfd326&sid=2401&ppid=42333640&vpid=116125994&ct=offers,Future Electronics,TLMG1100-GS08-CUTT,Cut Tape,0.8794125,0.8794125,0.8794125,1382,1,https://octopart.com/click/track?ai=8237&sig=078c20a&sid=2454&ppid=42333640&vpid=415685440&ct=offers,
1,3009,Adafruit Industries,3009,https://octopart.com/3009-adafruit+industries-71539687,,,"Headers to populate into J1, J2, J3",1,,485-3009,,,,34.824735000000004,,45,,1,,https://octopart.com/click/track?ai=8237&sig=02ea5a9&sid=2401&ppid=71539687&vpid=456349081&ct=offers,Arrow Electronics,3009,,34.824735000000004,34.824735000000004,34.824735000000004,903,1,https://octopart.com/click/track?ai=8237&sig=0a9e7bf&sid=1106&ppid=71539687&vpid=473091883&ct=offers,
3,CGA3E2X8R1E104K080AA,TDK,CGA3E2X8R1E104K080AA,https://octopart.com/cga3e2x8r1e104k080aa-tdk-26014571,"C1, C2, C3",,,3,445-5885-1-ND,810-CGA3E2X8R1E104K,Cut Tape,Tape & Reel,0.9849420000000001,1.336707,90583,397720,1,1,https://octopart.com/click/track?ai=8237&sig=04988ac&sid=459&ppid=26014571&vpid=63977154&ct=offers,https://octopart.com/click/track?ai=8237&sig=0d2d541&sid=2401&ppid=26014571&vpid=66165232&ct=offers,Arrow Electronics,CGA3E2X8R1E104K080AA,Cut Tape,0.9356949000000001,2.8070847000000003,2.8070847000000003,65,1,https://octopart.com/click/track?ai=8237&sig=02b072a&sid=1106&ppid=26014571&vpid=473450094&ct=offers,
